disjunction [dis'dʒʌŋkʃən] n.分离，分裂
disjunctive [dis'dʒʌŋktiv] a.分离的，相反的
dislocate ['disləkeit] v.使脱臼；把„弄乱
dislodge [dis'lɔdʒ] v.逐出，取出
dismal ['dizməl] a.使人悲伤的，阴沉的
dismantle [dis'mæntl] v.拆除
dismay [dis'mei] n.沮丧，气馁；v.使气馁
disparage [dis'pæridʒ] v.贬抑，轻蔑
disparate ['dispərit] a.迥然不同的
disparity [dis'pæriti] n.不同，差异
dispassionate [dis'pæʃənit] a.平心静气的
dispatch [dis'pætʃ] v.(快速)派遣；一下子做完；(快速)吃完；n.迅速
dispel [dis'pel] v.驱散，消除
dispensable [dis'pensəbl] a.不必要的，可有可无的
dispense [dis'pens] v.分配，分发
disperse [dis'pə:s] v.消散，驱散
displace [dis'pleis] v.换置；使某人某物离开原位
disposable [dis'pəuzəbl] a.一次性使用的；可动用的
disposal [dis'pəuzəl] n.清除
dispose [dis'pəuz] v.使倾向；处理掉
disposed [di'spəuzd] a.愿意的，想干的
disposition [,dispə'ziʃən] n.安排，处置；天性，气质
disproof ['dispru:f] n.反证，反驳
disprove [dis'pru:v] v.证明„有误
dispute [dis'pju:t] v.争论
disregard [,disri'ɡɑ:d] v./n.疏忽，漠视
disrepute [,disri'pju:t] n.名声不好
disrupt [dis'rʌpt] v.弄乱，扰乱
disruptive [dis'rʌptiv] a.制造混乱的
dissect [di'sekt] v.解剖
dissemble [di'sembl] v.隐藏，掩饰(感受、意图)
disseminate [di'semineit] v.散布，传播
dissent [di'sent] v.不同意，持异议
dissertation [,disə(:)'teiʃən] n.专题论文
dissident ['disidənt] n.唱反调者
dissimulate [di'simjuleit] v.隐藏，掩饰
dissipate ['disipeit] v.(使)驱散；浪费
dissociation [di,səusi'eiʃən] n.分离，脱离关系
dissolute ['disəlju:t] a.放荡的，行为不检的
dissolve [di'zɔlv] v.使固体溶解
dissonant ['disənənt] a.不和谐的，不一致的
dissuade [di'sweid] v.劝阻，阻止
distant ['distənt] a.疏远的，冷淡的
distend [dis'tend] v.(使)膨胀，胀大
distension [dis'tenʃən] n.膨胀
distill [di'stil] v.蒸馏
distinct [dis'tiŋkt] a.清楚的，明显的
distinction [dis'tiŋkʃən] n.区别，差别；知名
distinctive [dis'tiŋktiv] a.出众的，有特色的
distinguished [dis'tiŋɡwiʃt] a.著名的，卓越的
distort [dis'tɔ:t] v.扭曲，弄歪
distract [dis'trækt] v.分心；使发狂，困扰
distracted [dis'træktid] a.精神不集中的
distraught [dis'trɔ:t] a.心神狂乱的
distress [dis'tres] n.痛苦，悲痛
