remove [ri'mu:v] v.移走；脱掉；迁移
remunerative [ri'mju:nərətiv] a.有报酬的，有利润的
rend [rend] v.撕裂；猛拉
render ['rendə] v.呈递，表现；提供„作为报偿或交换
rendering ['rendəriŋ] n.演出；翻译
rendezvous ['rɔndivu:] n.约会；约会地点
renegade ['reniɡeid] n.(政党，宗教，事业的)叛教者，叛徒
renege [ri'ni:ɡ] v.背信，违约
renounce [ri'nauns] v.(正式)放弃
renovate ['renəuveit] v.修复，装修，翻新(尤指旧建筑)
renown [ri'naun] n.名望，声誉
rent [rent] n.裂缝，破裂处；(意见)分歧
reparable ['repərəbl] a.能补救的，可挽回的
reparation [,repə'reiʃən] n.赔偿，补偿
repartee [,repɑ:'ti:] n.快速机灵的回答
repatriate [ri:'pætrieit] v.(自异国)遣返回国
repeal [ri'pi:l] v.废除(法律)
repel [ri'pel] v.击退；使„反感
repellent [ri'pelənt] a.令人厌恶的
repercussion [,ri:pə(:)'kʌʃən] n.反响，后果，(尤指不良的)间接影响；回声
repertoire ['repətwɑ:] n.(剧团等)常备剧目(以备随时演出)
repine [ri'pain] v.不满，心中抱怨
replenish [ri'pleniʃ] v.补充，再装满
replete [ri'pli:t] a.饱食的；塞满的，供应充足的
reportorial [,repə'tɔ:riəl] a.记者的；纪实的
repose [ri'pəuz] n./v.躺着休息，安睡
reprehend [repri'hend] v.谴责，责难
reprehensible [,repri'hensəbl] a.应受谴责的
repressed [ri'prest] a.(情感)被压制的，被压抑的
reprieve [ri'pri:v] v.缓刑，暂时解救；n.缓刑，暂时解救
reprimand ['reprima:nd] n.训诫，谴责；v.训诫，谴责
reprisal [ri'praizəl] n.(政治或军事的)报复
reprise [ri'praiz] n.(音乐剧中)乐曲的重复；重复，重新开始
reproach [ri'prəutʃ] n.谴责，责骂
reprobate ['reprəubeit] v.谴责，指责；adj./n.堕落的(人)
reproof [ri'pru:f] n.责斥，责备
reprove [ri'pru:v] v.责骂，申斥
reptile ['reptil] n.爬行动物；卑劣的人
reptilian [rep'tiliən] a.爬虫类的；卑下的
repudiate [ri'pju:dieit] v.拒绝，抛弃
repugnance [ri'pʌɡnəns] n.强烈嫌恶、反感
repugnant [ri'pʌɡnənt] a.令人厌恶的
repulse [ri'pʌls] v.&n.驱逐，击退；厌恶，粗暴拒绝
repulsion [ri'pʌlʃən] n.厌恶，反感；(物)排斥力
reputation [,repju'teiʃən] n.名声
repute [ri'pju:t] n.名声，名誉
request [ri'kwest] n.要求，请求；v.要求，请求
requisite ['rekwizit] n.必需物；a.必要的
requite [ri'kwait] v.报答；报复
rescind [ri'sind] v.废除，取消(法规，合同)
rescission [ri'siʒən] n.废除
rescue ['reskju:] n./v.解救；把„从法律监管下强行夺回，非法劫回
resent [ri'zent] v.憎恶，愤恨
resentment [ri'zentmənt] n.愤恨，怨恨
reserve [ri'zə:v] n.储备(物)，储藏量；寡言，谨慎；v.保留，储备，预订(座位，住处)
reside [ri'zaid] v.(永久性)居住，定居
resident ['rezidənt] n.居民；a.定居的，常驻的
residual [ri'zidjuəl] a.残余的，剩余的
residue ['rezidju:] n.剩余物
resignation [,reziɡ'neiʃən] n.听从，顺从；辞职
resigned [ri'zaind] a.逆来顺受的，顺从的
resilience [ri'ziliəns] n.弹性，弹力，迅速恢复的能力
resilient [ri'ziliənt] a.有弹性的；能恢复活力的，适应力强的
resin ['rezin] n.树脂
resonant ['rezənənt] a.(声音)洪亮的；共鸣的，产生共振的
resort [ri'zɔ:t] n.度假胜地
resound [ri'zaund] v.回荡着声音；鸣响
resourceful [ri'sɔ:sful] a.机智的，善于随机应变的
respiration [,respi'reiʃən] n.呼吸
respite ['respait] n.休息(时间)；暂缓
resplendent [ris'plendənt] a.华丽的，辉煌的
respondent [ris'pɔndənt] n.被告
response [ris'pɔns] n.反应，响应，回答
responsive [ris'pɔnsiv] a.敏感的，反应快的
responsiveness [ris'pɔnsivnis] n.(积极快速的)应答，响应
restitution [,resti'tju:ʃən] n.(物品)归还原主；(对损害的)赔偿
restive ['restiv] a.不安静的，不安宁的
restiveness ['restivnis] n.倔强，难以驾御
restless ['restlis] a.不停的；不安静的
restore [ris'tɔ:] v.使回复、恢复至原状；修复、修补至原状
restored [ris'tɔ:d] a.恢复至原状的，复修至原状的
restrain [ris'trein] v.克制，抑制
restraint [ris'treint] n.(自我)克制
resume [ri'zju:m] v.重新开始，(停顿后)继续进行
resurgence [ri'sə:dʒəns] n.再起，复活，再现，复兴
resurrect [,rezə'rekt] v.使(人)复活；使(事物)复兴
resuscitate [ri'sʌsiteit] v.使复活，使苏醒
retail ['ri:teil] v.零售；n.零售
retain [ri'tein] v.保留，保持；留住
retainer [ri'teinə] n.侍从
retaliate [ri'tælieit] v.报复，反击
retaliation [ri,tæli'eiʃən] n.报复
retard [ri'tɑ:d] v.妨碍；减速
reticent ['retisənt] a.沉默不语的，有保留的
retinue ['retinju:] n.侍从，随员团
retiring [ri'taiəriŋ] a.隐居的，不喜欢社交的
retort [ri'tɔ:t] v.反驳
retouch [ri:'tʌtʃ] v.(照片、画)修描，润色
retrace [ri'treis] v.回顾，追溯；原路折返
retract [ri'trækt] v.缩回，收回
retreat [ri'tri:t] n./v.撤退；隐居处
retrench [ri'trentʃ] v.节省，紧缩费用
retribution [,retri'bju:ʃən] n.报应，惩罚
retrieve [ri'tri:v] v./n.寻回，取回；挽回(错误)
revealing [ri'vi:liŋ] a.暴露的，裸露的；揭露真相的
revelation [,revi'leiʃən] n.显示，显露；泄露的事实
revelry ['revlri] n.(喧闹的)狂欢
revenge [ri'vendʒ] v.&n.报复，报仇
revenue ['revinju:] n.总收入；国家的税收收入
reverberate [ri'və:bəreit] v.起回声，回响
revere [ri'viə] v.深表尊敬
reverie ['revəri] n.幻想，白日梦；(音)梦幻曲，幻想曲
reverse [ri'və:s] n.反面；相反；v.倒车；反转
revert [ri'və:t] v.恢复，回复到；(思路、话题)回到„上，重新考虑
revile [ri'vail] v.辱骂，恶言相向
revise [ri'vaiz] n./v.改变，修正
revitalize ['ri:'vaitəlaiz] v.使重新充满活力，使新生，使再兴
revive [ri'vaiv] v.使苏醒；再流行，使重新使用
revolt [ri'vəult] v.叛乱，造反；反感
revue [ri'vju:] n.时事讽刺剧
reward [ri'wɔ:d] n.酬报，奖赏；v.酬谢，奖赏
rewarding [ri'wɔ:diŋ] a.有益的，值得做的
rhetoric ['retərik] n.修辞学；（贬）浮夸的言语
rhinestone ['rainstəun] n.水晶石，莱茵石
rhubarb ['ru:bɑ:b] n.(植物)大黄；v./n.喧闹争吵
rhyme [raim] n.押韵；v.押韵
rhythmic ['riðmik] a.有节奏的
rib [rib] n.(医)肋骨；伞骨
ribald ['ribəld] a.(下流，粗鄙方式)幽默的
rickety ['rikiti] a.不牢固的，摇摇欲坠的
riddle ['ridl] n.谜语
rider ['raidə] n.骑手；附文，附件
ridge [ridʒ] n.脊(如屋脊，山脊等)，隆起物
ridicule ['ridikju:l] n.奚落，嘲笑；v.嘲笑
rife [raif] a.(尤指不良事物或现象)流行的，普遍的
rifle ['raifl] n.步枪；v.搜查并抢劫
rift [rift] n.裂口，断裂；(人之间的)矛盾、不和
rig [riɡ] v.欺骗，舞弊，伪造
rigid ['ridʒid] a.硬性的，刚硬的；(规则，方法)死板的
rigor ['riɡə] n.严酷；严格，苛刻；(尤指思想)严密，精确
rile [rail] v.使„恼火，激怒
rind [raind] n.(西瓜等)硬外皮
ringlet ['riŋlit] n.长的卷发
riot ['raiət] v.参加暴动
riotous ['raiətəs] a.暴乱的；喧闹的
ripen ['raipən] v.使成熟
ripple ['ripl] v.起涟漪；n.细浪，涟漪
rite [rait] n.(宗教的)仪式
ritual ['ritʃuəl] n.仪式，例行习惯
rival ['raivəl] n.竞争者，对手；v.与„匹敌
rivalry ['raivəlri] n.竞争，对抗
rive [raiv] v.撕开，分裂
riven ['rivən] a.撕裂的，分裂的
rivet ['rivit] n.铆钉；v.吸引(注意力)
riveting ['rivitiŋ] a.（褒）非常精彩的，吸引人的
rivulet ['rivjulit] n.小溪，小河
robe [rəub] n.长袍，礼服
robust [rə'bʌst] a.健壮的
roe [rəu] n.鱼卵
roil [rɔil] v.煽动，搅浑
rookie ['ruki] n.新兵，新手
roster ['rəustə] n.(尤指军队)值班表，执勤人员名单
rostrum ['rɔstrəm] n.演讲台，讲坛
rotate [rəu'teit] v.旋转，转动；轮流，交替
rotten ['rɔtn] a.腐烂的；(人)腐败的；糟糕的，极差的
roughen ['rʌfən] v.使变得粗糙，使变得不平
royalty ['rɔiəlti] n.版税；王室成员
rubicund ['ru:bikənd] a.(脸色)红润的
rudder ['rʌdə] n.船舵；领导者
rudimentary [ru:di'mentəri] a.（贬）初步的；未充分发展的，发育不成熟的
rue [ru:] n.后悔，遗憾
ruffian ['rʌfiən] n.恶棍，歹徒；a.残暴的
ruffle ['rʌfl] v.弄皱或弄乱；激怒；n.皱边(装饰衣服)
ruminant ['ru:minənt] a.(动物)反刍的；沉思的
rumple ['rʌmpl] v.弄皱，弄乱
rung [rʌŋ] n.梯子横挡，梯级
runic ['ru:nik] a.北欧古代文字的；神秘的
rupture ['rʌptʃə] n./v.破裂，断裂
rural ['ruərəl] a.乡村的
ruse [ru:z] n.骗术，诡计
rustic ['rʌstik] a.乡村的，乡土气的
ruthlessness ['ru:θlisnis] n.无情，残忍
sabotage ['sæbətɑ:ʒ] n.阴谋破坏，颠覆活动(尤指摧毁对方武器、装备或挫败对方计划)
saboteur [,sæbə'tə:] n.从事破坏活动者
saccharin ['sækərin] n.糖精
sacred ['seikrid] a.神圣的，庄严的
sacrifice ['sækrifais] n.牺牲；v.宰牲祭神
sacrilege ['sækrilidʒ] n.亵渎，冒犯神灵
sacrilegious [sækri'lidʒəs] a.亵渎神圣的
sadden ['sædn] v.使伤心，使悲哀
saddle ['sædl] n.鞍，马鞍
safeguard ['seif,ɡɑ:d] n.防范措施，保护性措施
sagacious [sə'ɡeiʃəs] a.聪明的，睿智的
sage [seidʒ] a.智慧的；n.智者
saintly ['seintli] a.圣徒似的，极为圣洁的
salient ['seiljənt] a.显著的，突出的
saliva [sə'laivə] n.唾液，口水
salmon ['sæmən] n.大麻哈鱼；鲜肉色，橙红色
salubrious [sə'lju:briəs] a.(气候)有益健康的
salutary ['sæljutəri] a.有益的，有益健康的
salutation [sælju(:)'teiʃən] n.招呼，致意，敬礼
salute [sə'lu:t] v.行举手礼；向„致意；n.敬礼
salvage ['sælvidʒ] n./v.(从灾难中)抢救，海上救助
salve [sɑ:v] n.药膏；v.减轻，缓和(痛苦，愧疚)
sampler ['sɑ:mplə] n.刺绣花样；取样员
sanctify ['sæŋktifai] v.使神圣
sanctimonious [sæŋkti'məunjəs] a.（贬）假装神圣(虔诚)的
sanction ['sæŋkʃən] n./v.批准，认可
sandal ['sændl] n.凉鞋，拖鞋
sane [sein] a.神志清楚的；明智的，理智的
sanguine ['sæŋɡwin] a.乐观的
sanity ['sæniti] n.神志清楚
sap [sæp] n.树液；活力；v.消弱，耗尽
sapient ['seipiənt] a.有智慧的
sapphire ['sæfaiə] n.青石，蓝宝石；a.天蓝色的
sarcastic [sɑ:'kæstik] a.讽刺的
sartorial [sɑ:'tɔ:riəl] a.裁缝的，缝制的
sash [sæʃ] n.肩带
sate [seit] v.使充分意足(尤指坏事)；使厌腻
satiated ['seiʃieitid] a.充分满足的；厌倦的，生腻的
satire ['sætaiə] n.讽刺(作品)
satirize ['sætiraiz] v.讽刺
saturate ['sætʃəreit] v.浸透；使充满
saturated ['sætʃəreitid] a.渗透的，湿透的，饱和的；深颜色的
saturnine ['sætə(:)nain] a.忧郁的，阴沉的
saunter ['sɔ:ntə] n./v.闲逛，漫步
savage ['sævidʒ] a.凶猛的，野蛮的
savant ['sævənt] n.博学之士，大学士
savvy ['sævi] a.有见识的，精明能干的
sawdust ['sɔ:dʌst] n.锯屑
scabbard ['skæbəd] n.(刀剑)鞘
scad [skæd] n.许多，大量
scaffold ['skæfəuld] n.脚手架(造房时搭的架子)
scalding ['skɔ:ldiŋ] a.滚烫的
scale [skeil] n.鱼鳞；(音乐)音阶
scalpel ['skælpəl] n.外科手术刀，解剖刀
scandal ['skændl] n.丑闻；恶意的诽谤，流言蜚语
scant [skænt] a.不足的，缺乏的
scarcity ['skeəsiti] n.不足，缺乏
scarf [skɑ:f] n.围巾，披肩
scathing ['skeiðiŋ] a.(批评，嘲笑等)苛刻的，严厉的
scatter ['skætə] v.散开，驱散
scenario [si'nɑ:riəu] n.剧情说明书，剧本
schematic [ski'mætik] a.纲要的，图解的
schematize ['ski:mətaiz] v.扼要表示
scheme [ski:m] n.阴谋；计划，方案；(作品等)体系，结构
schism ['sizəm] n.组织分裂(尤指教会)
school [sku:l] n.鱼群
scion ['saiən] n.嫩芽；子孙
scissor ['sizə] n.剪刀
scoff [skɔf] v.嘲笑；狼吞虎咽；n.嘲笑，笑柄
scoop [sku:p] n.小铲，勺子；v.(用勺子)取出，舀出
scope [skəup] n.视野，眼界；(处理、研究食物的)范围
scorch [skɔ:tʃ] v.烤焦，烧焦
score [skɔ:] n.乐谱
scorn [skɔ:n] n.轻蔑；v.轻蔑，瞧不起
scorpion ['skɔ:piən] n.蝎子
scotch [skɔtʃ] v.镇压，粉碎，阻止
scourge [skə:dʒ] n.鞭子；造成灾难的人或事物；v.鞭打；使受磨难、痛苦
scowl [skaul] n.怒容；v.生气地皱眉，怒视
scrap [skræp] n.小片，碎屑；v.废弃(无用的或坏的东西)
scrappy ['skræpi] a.碎片的，零碎拼起来的；好斗的；坚毅的
scrawl [skrɔ:l] v.潦草地写，乱涂
screw [skru:] n.螺丝钉，螺旋状物；吝啬鬼
screwdriver ['skru:draivə] n.螺丝起子；改锥
scribble ['skribl] v.乱写，乱涂
script [skript] n.剧本，脚本
scripture ['skriptʃə] n.经文，圣典；圣经(=the Bible)
scroll [skrəul] n.卷轴，纸卷；画卷
scrub [skrʌb] n.矮树丛；身体矮小的人；v.用力擦洗
scruple ['skru:pl] n.顾忌，迟疑；v.顾忌
scrutable ['skru:təbl] a.可以理解的
scrutinize ['skrutinaiz] v.详细彻底检查；细读，细看
scuff [skʌf] v.拖着脚走
sculpt [skʌlpt] v.雕刻
sculptor ['skʌlptə(r)] n.雕刻家
scurrilous ['skʌriləs] a.下流的，粗俗的
scurry ['skʌri] v.(小步)急跑，疾行
scurvy ['skə:vi] a.卑鄙的，可鄙的；n.坏血病
