creep [kri:p] v.匍匐前进；悄悄地移动
crescendo [kri'ʃendəu] n.(音乐声音)渐强，高潮
crest [krest] n.山顶，浪尖；（鸟）羽冠
crestfallen ['krestfɔ:lən] a.挫败的，失望的
cringe [krindʒ] v.畏缩；谄媚
cringing ['krindʒiŋ] n./a.谄媚(的)，奉承(的)
criteria [krai'tiəriə] n.评判标准
criterion [krai'tiəriən] n.评判的标准，尺度
critic ['kritik] n.批评者
critical ['kritikəl] a.挑毛病的；关键的，危急的
critique [kri'ti:k] n.批评性的分析
croak [krəuk] n.蛙鸣声；v.发牢骚，抱怨
crochet ['krəuʃei] n.钩针织物；v.用钩针编织
crockery ['krɔkəri] n.陶器，瓦器
cronyism [krəuniizəm] n.(由指政治上)任人唯亲；对好朋友的偏袒
crook [kruk] v.使弯曲；n.钩状物
cross [krɔs] a.生气的
crouch ['krautʃ] v.蹲伏，弯腰
crown [kraun] v.加冕，使成王，居„之顶
crucial ['kru:ʃiəl] a.决定性的
crudity ['kru:diti] n.粗糙，生硬
crumb [krʌm] n.饼屑，面包屑；碎裂的东西
crumble ['krʌmbl] v.弄碎；崩毁
crumple ['krʌmpl] v.弄皱；破裂
crusade [kru:'seid] n.维护理想、原则而进行的运动或斗争
crust [krʌst] n.硬的表面；(一片)面包片；地壳
crutch [krʌtʃ] n.拐杖；v.支撑
crux [krʌks] n.关键，症结所在
cryogenic [,kraiəu'dʒenik] a.低温的，制冷的；低温学的
cryptic ['kriptik] a.秘密的，神秘的
cub [kʌb] n.幼兽；年轻无经验的人
cubicle ['kju:bikl] n.大房间中隔出的小室
cue [kju:] v.暗示，提示；n.暗示，提示
cuisine [kwi(:)'zi:n] n.烹饪
culinary ['kʌlinəri] a.厨房的；烹调的
culmination [kʌlmi'neiʃ(ə)n] n.顶点；最终结果、最终结论
culpable ['kʌlpəbl] a.有罪的，该受谴责的
cult [kʌlt] n.宗派；崇拜
cultivate ['kʌltiveit] v.种植；向„讨好
cultivated ['kʌltiveitid] a.耕种的，栽植的；有修养的
cumbersome ['kʌmbəsəm] a.笨重的
cumulus ['kju:mjuləs] n.积云
cunning ['kʌniŋ] a.善于骗人的；灵巧的；n.欺诈行为
cupidity [kju(:)'piditi] n.贪婪
curator [kjuə'reitə] n.(博物馆等)馆长
curb [kə:b] n.路缘，(街道的)镶边石；马勒；v.控制
curdle ['kə:dl] v.使凝结，变稠
curmudgeon [kə:'mʌdʒən] n.脾气暴躁之人
curriculum [kə'rikjuləm] n.(全部的)课程
cursory ['kə:səri] a.粗略的，草率的
curt [kə:t] a.(言词、行为)简略而草率的
curtail [kə:'teil] v.削减，缩短
cushion ['kuʃən] n.坐垫；v.缓冲
custodian [kʌs'təudjən] n.管理员，监护人
custody ['kʌstədi] n.监护，监管，保管
customary ['kʌstəməri] a.合乎习俗的
cuticle ['kju:tikl] n.表皮
cutlery ['kʌtləri] n.(刀、叉、匙等)餐具
cyclical ['sɑiklikl] a.循环的
cyclone ['saiklon] n.气旋，飓风
cylinder ['silində] n.圆柱
cynic ['sinik] n.犬儒主义者，愤世嫉俗者
cypress ['saipris] n.柏树
cytology [sai'tɔlədʒi] n.[生]细胞学
dabble ['dæbl] v.涉足，浅赏
daft [dɑ:ft] a.傻的
dagger ['dæɡə] n.短剑，匕首
daguerreotype [də'ɡeriəutaip] n.(早期)银版照相
dainty ['deinti] n.精美食品；a.娇美的；挑剔的
dally ['dæli] v.闲荡，嬉戏
damp [dæmp] v.减弱，制止振动；a.潮湿的
damped [dæmpt] a.减震的，压低(声音)的
dampen ['dæmpən] v.(使)潮湿；使沮丧，泼凉水
dandy ['dændi] n.好打扮的男人，花花公子
dapper ['dæpə(r)] a.整洁漂亮的；动作敏捷的
dappled ['dæpl(ə)d] a.有斑点的，斑驳的
daredevil ['deə,devl] a./n.胆大的(人)，冒失的(人)
dart [dɑ:t] n.飞镖；v.急驰；投射
daunt [dɔ:nt] v.使胆怯，使畏缩
dawdle ['dɔ:dl] v.闲荡，虚度
deactivate [di:'æktiveit] v.使无效
deaden ['dedn] v.减低某物的力量或强度
deadlock ['dedlɔk] n.相持不下，僵局
deadpan ['dedpæn] a./n.无表情的(脸)
dealing ['di:liŋ] n.生意行为；作风
dearth [də:θ] n.缺乏，短缺
debacle [dei'bɑ:kl] n.解冻；崩溃
debark [di'bɑ:k] v.下船，下飞机，下车，卸载
debase [di'beis] v.贬低，贬损
debate [di'beit] n.正式的辩论，讨论
debilitate [di'biliteit] v.使衰弱
debouch [di'bautʃ] v.流出，进入(开阔地区)
debrief [di'bri:f] v.向„询问情况，听取汇报
debris [də'bri:] n.废墟，残骸
debunk [di:'bʌŋk] v.揭穿真相，暴露（坏事，贬义）
debut ['deibju:] n.（演员）初次登台，初次露面
decadence ['dekədəns] n.衰落，颓废
deceit [di'si:t] n.欺骗，欺诈
decency ['di:snsi] n.正派，端庄
decent ['di:snt] a.适当的，可接受的；得体的
deception [di'sepʃən] n.欺骗手段
decibel ['desibel] n.分贝(音量的单位)
deciduous [di'sidʒjuəs] a.非永久的；短暂的；脱落的；落叶的
decimate ['desimeit] v.毁掉大部分；大量杀死
decipher [di'saifə] v.解开(疑团)；破译(密码)
declaim [di'kleim] v.高谈阔论
declamation [,deklə'meiʃən] n.雄辩，高调
decline [di'klain] v.拒绝；变弱，变小；n.消减
decode [,di:'kəud] v.译解(密码)
decompose [,di:kəm'pəuz] v.(使)腐烂
decomposition [,di:kɔmpə'ziʃən] n.分解，腐烂，崩溃
decorate ['dekə,ret] v.装饰某事物
decorum [di'kɔ:rəm] n.礼节，礼貌
decrepit [di'krepit] a.衰老的，破旧的
decry [di'krai] v.责难；贬低(价值)
dedication [,dedi'keiʃən] n.对某事业或目的的忠诚
deduce [di'dju:s] v.演绎，推断
deduct [di'dʌkt] v.减去，扣除；演绎
deductive [di'dʌktiv] a.推理的，演绎的
deed [di:d] n.行为；(土地或建筑物的)转让契约、证书
deface [di'feis] v.损坏（外观）
default [di'fɔ:lt] v./n.拖债；未履行的责任
defeatist [di'fi:tist] n.失败主义者
defect [di'fekt] n.缺点，瑕疵；v.变节，脱党
defendant [di'fendənt] n.被告
defense [di'fens] n.防御，防护
defer [di'fə:] v.推延；听从
deference ['defərəns] n.敬意，尊重
deferential [,difə'renʃəl] a.顺从的，恭顺的
defiance [di'faiəns] n.挑战，违抗，反抗
deficiency [di'fiʃənsi] n.缺陷；不足
deficit ['defisit] n.不足，赤字
defile [di'fail] v.弄污，弄脏；n.(山间)小道
defined [di'faind] a.定义的；清晰的
definite ['definit] a.清楚的，明确的
definition [,defi'niʃən] n.(轮廓等)清晰；定义
definitive [di'finitiv] a.明确的，有权威的
deflated [di'fleitid] a.灰心丧气的
deflect [di'flekt] v.偏离，转向
defoliator [di'fəulieitə] n.落叶剂
deforestation [di,fɔris'teiʃən] n.采伐森林
defraud [di'frɔ:d] v.欺骗某人
deft [deft] a.灵巧的，熟练的
defuse [di:'fju:z] v.从(爆破装置)中卸除引信；缓和紧张状态或危急局面
defy [di'fai] v.违抗，藐视
degradation [,deɡrə'deiʃən] n.降低身份，受辱
dehydrate [di:'haidreit] v.除去水分，脱水
deify ['di:ifai] v.奉为神；崇拜
deign [dein] v.屈尊，惠允(做某事)
dejected [di'dʒektid] a.沮丧的，失望的
delectable [di'lektəbl] a.（食物）赏心悦目的
delegate ['deliɡit] n.代表；v.委派„为代表，授权
deleterious [,deli'tiəriəs] a.(对身心)有害的，有毒的
deliberate [di'libəreit] a.深思熟虑的;故意的；v.慎重考虑
delicacy ['delikəsi] n.细嫩；精致，优雅
delicate ['delikit] a.娇嫩的；精致的，优美的
delimit [di:'limit] v.定界，划界
delineate [di'linieit] v.描画
delinquency [di'liŋkwənsi] n.失职，过失
delinquent [di'liŋkwənt] a.疏忽职务的
delirious [di'liriəs] a.精神错乱的
delirium [di'liriəm] n.精神错乱
delta ['deltə] n.三角洲
delude [di'lu:d] v.欺骗，哄骗
deluge ['delju:dʒ] n.大洪水；暴雨
delusion [di'lu:ʒən] n.欺骗，幻想
delve [delv] v.深入探究，钻研
demagogue ['deməɡɔɡ] n.蛊惑民心的政客
demand [di'mɑ:nd] v.要求，苛求
demanding [di'mɑ:ndiŋ] a.苛刻的，过分要求的
demean [di'mi:n] v.贬抑，降低（身份）
demise [di'maiz] n.死亡；财产转让
demography [di:'mɔɡrəfi] n.人口统计，人口学
demolish [di'mɔliʃ] v.破坏；拆除
demolition [,demə'liʃən] n.破坏，毁坏
demonstrate ['demənstreit] v.证明，论证；示威
demonstrative [di'mɔnstrətiv] a.证明性的；喜怒形于色的
demoralize [di'mɔrəlaiz] v.使士气低落
demote [di'məut] v.降级，降职
demotic [di(:)'mɔtik] a.民众的，通俗的
demur [di'mə:] v.表示异议，反对
demystify [di:'mistifai] v.弄清楚
den [den] n.兽穴，窝
denigrate ['deniɡreit] v.污蔑，诽谤
denim ['denim] n.粗斜纹棉布
denizen ['denizn] n.居民；外籍居民
denomination [di,nɔmi'neiʃən] n.命名；(长度，币值的)单位
denote [di'nəut] v.表示；指示意义
denouement [dei'nu:mɔŋ] n.(小说的)结尾，结局
denounce [di'nauns] v.指责
dent [dent] n.缺口，凹痕；v.弄凹
denture ['dentʃə] n.假牙
denude [di'nju:d] v.脱去；剥蚀；剥夺
denunciation [di,nʌnsi'eiʃ(ə)n] n.谴责，斥责
depict [di'pikt] v.描绘，描画
deplete [di'pli:t] v.倒空；耗尽
deplore [di'plɔ:] v.悲悼，哀叹
deport [di'pɔ:t] v.(将外国人、罪犯等)驱逐出境
deportation [,dipɔ:'teiʃən] n.驱逐出境
depose [di'pəuz] v.免职；作证
deposition [,depə'ziʃən] n.免职；沉积；作证
depraved [di'preivd] a.堕落的，腐化的
depravity [di'præviti] n.堕落，恶习
deprecate ['deprikeit] v.反对，轻视
depreciate [di'pri:ʃieit] v.轻视；贬值
depressed [di'prest] a.消沉的；凹陷的
depression [di'preʃən] n.忧愁，消沉；数量减少
deprivation [,depri'veiʃən] n.剥夺；缺乏
deputy ['depjuti] n.代表；副警长
deracinate [di'ræsineit] v.根除，杜绝
deranged [di'reindʒd] a.精神错乱的，有精神病的
derelict ['derilikt] a.荒废的；玩忽职守的；n.被(社会、家庭)遗弃的人
dereliction [deri'likʃən] n.遗弃，弃置
deride [di'raid] v.（轻蔑）嘲笑，愚弄
derivation [deri'veiʃən] n.发展，起源；词源
derivative [di'rivətiv] a.派生的；无创意的
dermatologist [,də:mə'tɔlədʒist] n.皮肤病学家
derogate ['derəɡeit] v.贬低，诽谤
derogatory [di'rɔɡətəri] a.不敬的，诽谤的
descend [di'send] v.下来，下降
descendant [di'send(ə)nt] n.后代，后裔
descent [di'sent] n.降落；突然侵袭；血统
descry [dis'krai] v.远远看到，望见
desecrate ['desikreit] v.玷辱，亵渎
desert [di'zə:t] v.放弃，离弃
deserted [di'zə:tid] a.荒芜的，无人的
deserter [di'zə:tə] n.背弃者，逃亡者
desertion [di'zə:ʃən] n.离弃，遗弃
desiccate ['desikeit] v.(使)完全干涸，脱水
designation [,deziɡ'neiʃən] n.指定；名称，称呼
designer [di'zainə] n.设计者，构思者
desirable [di'zaiərəbl] a.值得要的
