surge [sə:dʒ] v.波涛汹涌，波动
surgeon ['sə:dʒən] n.外科医师；军医，船上的医生
surly ['sə:li] a.脾气暴躁的；阴沉的
surmise ['sə:maiz] n.推测，猜测；v.推测
surmount [sə'maunt] v.克服，战胜
surpass [sə:'pɑ:s] v.超过
surplus ['sə:pləs] a.过剩的；盈余的
surrealism [sə'riəliz(ə)m] n.超现实主义
surrender [sə'rendə] v.投降；放弃；归还
surreptitious [,sʌrəp'tiʃəs] a.(贬)鬼鬼祟祟的，暗中进行的
surrogate ['sʌrəɡit] n.代替品；代理人
surveyor [sə'veiə] n.(建筑，土地)测量员
survive [sə'vaiv] v.幸存
susceptibility [sə,septə'biliti] n.易受影响性
susceptible [sə'septəbl] a.易受影响的，脆弱的
suspect [səs'pekt] v.怀疑；n.嫌疑犯；a.可疑的
suspend [səs'pend] v.暂缓，中止；吊，悬
suspense [səs'pens] n.悬念，不确定；挂念
suspicion [səs'piʃən] n.怀疑，觉察，嫌疑
suspicious [səs'piʃəs] a.怀疑的(尤指犯罪，坏事)
sustain [səs'tein] v.承受(困难)，支撑(重量)
sustained [səs'teind] a.持久的
sustenance ['sʌstinəns] n.食物，粮食；生计
suture ['sju:tʃə] n.(伤口的)缝线；v.缝合
svelte [svelt] a.(女人)体态苗条的
swagger ['swæɡə] v.(贬)自鸣得意地走，大摇大摆地走
swallow [swɔləu] v.吞下，咽下；忍受
swamp [swɔmp] n.沼泽；v.使陷入，使忙得不可开交；淹没
sway [swei] v.摇动，摇摆；影响使改变观点；n.摇动
swell [swel] v.(使)肿胀，(使)增强
sweltering ['sweltəriŋ] a.酷热的
swerve [swə:v] v.突然改变方向
swift [swift] a.迅速的；敏捷的
swill [swil] v.冲洗；大喝，痛饮
swindle ['swindl] v.诈骗
swine [swain] n.猪
swing [swiŋ] v.摇摆；旋转；n.秋千
swirl [swə:l] v.旋转，起漩涡；n.漩涡
sybarite ['sibərait] n.奢侈逸乐的人
sybaritic [,sibə'ritik] a.放纵的，好享乐的
sycophant ['sikəfənt] n.马屁精
syllabus ['siləbəs] n.教学纲要，教学大纲
symbiosis [,simbai'əusis] n.(生)共生(关系)
symmetry ['simitri] n.对称；均衡
symphony ['simfəni] n.交响乐，交响曲
synchronous ['siŋkrənəs] a.同时发生的
syndrome ['sindrəum] n.(医)综合症状
synergic [si'nə:dʒik] a.协同作用的
synopsis [si'nɔpsis] n.摘要，概要
synoptic [si'nɔptik] a.摘要的
synthesis ['sinθisis] n.综合，合成
syringe ['sirindʒ] n.注射器
table ['teibl] v.搁置，不加考虑
taboo [tə'bu:] a.讳忌的；n.禁忌
tacit ['tæsit] a.心照不宣的(心里明白但嘴上不说的)
taciturn ['tæsitə:n] a.沉默寡言的
tackiness ['tækinis] n.胶粘性
tackle ['tækl] v.处理；n.(吊重物用的)滑车，滑轮
tact [tækt] n.机智，圆滑
tactic ['tæktik] n.(达到目的的)手段；战术
tactile ['tæktail] a.触觉的
tadpole ['tædpəul] n.蝌蚪
tag [tæɡ] n.鞋带；附属物，标签
taking ['teikiŋ] a.动人的，吸引人的
talisman ['tælizmən] n.避邪物，护身符
tally ['tæli] v.(使)一致，符合
talon ['tælən] n.猛禽的锐爪
tambourine [,tæmbə'ri:n] n.铃鼓，手鼓
tame [teim] a.驯服的；沉闷的，平淡无奇的
tamp [tæmp] v.捣实，砸实
tamper ['tæmpə] v.(未经许可擅自)窜改，乱动
tan [tæn] v.鞣(革)，制(革)
tangential [tæn'dʒenʃ(ə)l] a.切线的；离题的
tangible ['tændʒəbl] a.可触摸的
tangle ['tæŋɡl] v.缠结；n.纷乱，混乱
tango ['tæŋɡəu] n.探戈舞
tangy ['tæŋi] a.强烈的，扑鼻的
tantalize ['tæntəlaiz] v.(以可望而不可及之物)挑惹，挑逗
tantamount ['tæntəmaunt] a.与„相等的
tantrum ['tæntrəm] n.发脾气，发怒(尤指儿童)
taper ['teipə] n.细蜡烛；v.(长形物体的)逐渐变细
tapestry ['tæpistri] n.挂毯
tardy ['tɑ:di] a.缓慢的，迟缓的
tare [teə] n.莠草，杂草
tariff ['tærif] n.关税
tarnish ['tɑ:niʃ] n./v.失去光泽，晦暗
